%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1765344904485776152,21,1765344904339621000,map,-0.12777188727738212,3.980512842687395,0.0,0.0,0.0,0.30286459973664487,0.9530335955391929,0.024165597309957217,0.014910877413411017,0.0,0.0,0.0,0.0,0.014910877413411017,0.013927999736939256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015688751363432608
1765344905183255875,22,1765344904579587000,map,-0.0846310555946889,4.024766201365363,0.0,0.0,0.0,0.3302099378005624,0.943907515055235,0.017065620372065726,0.009942648861435477,0.0,0.0,0.0,0.0,0.009942648861435477,0.011187138748368852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020815981833914782
1765344905198764856,23,1765344904819578000,map,-0.03592421505556859,4.07648388976392,0.0,0.0,0.0,0.35944839904498893,0.933164963135669,0.012780866781362348,0.006915646548194571,0.0,0.0,0.0,0.0,0.006915646548194571,0.009476138628244257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02470898046317446
1765344905214692273,24,1765344905059818000,map,0.011381348779094564,4.133278275339035,0.0,0.0,0.0,0.3867362314272344,0.9221903747607978,0.010090700765052744,0.0047828255340129616,0.0,0.0,0.0,0.0,0.004782825534012965,0.008343189946184992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026198232540993002
1765344905433756963,25,1765344905300231000,map,0.05116177968276608,4.183103426908035,0.0,0.0,0.0,0.4179437967621036,0.9084728849823078,0.008399615276272561,0.0035946946591917384,0.0,0.0,0.0,0.0,0.0035946946591917384,0.007115145501700226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02898372798875912
1765344905687052372,26,1765344905540304000,map,0.08398077703252872,4.230894367028735,0.0,0.0,0.0,0.4392691596139276,0.8983555005742848,0.006314168404965897,0.0024123472827957126,0.0,0.0,0.0,0.0,0.0024123472827957126,0.00615704317857535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02972838472731577
1765344905923759478,27,1765344905780716000,map,0.11640853910771805,4.2816940998149695,0.0,0.0,0.0,0.4531458223227246,0.8914364047487974,0.005104763451252967,0.0020562452887713523,0.0,0.0,0.0,0.0,0.0020562452887713523,0.005429383522219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029569245389745338
1765344906160915184,28,1765344906020814000,map,0.1487636723733062,4.331804194083468,0.0,0.0,0.0,0.4633045236050447,0.8861991415066383,0.004770576567718756,0.0022905865484411647,0.0,0.0,0.0,0.0,0.0022905865484411647,0.005080205693563045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029858708103885936
1765344906406720407,29,1765344906261106000,map,0.18321202333553047,4.386589656557641,0.0,0.0,0.0,0.4703019157769154,0.8825055852608318,0.004085927409204777,0.002484732133906653,0.0,0.0,0.0,0.0,0.002484732133906653,0.0046180907572299645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030550304056195025
1765344906632967466,30,1765344906500990000,map,0.13840067143710677,4.415413913091489,0.0,0.0,0.0,0.3291085527622438,0.9442920949042947,0.003398380826897092,0.0025473799553090704,0.0,0.0,0.0,0.0,0.0025473799553090704,0.004582484179675106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030986947066341385
1765344906904514287,31,1765344906740556000,map,0.17476723836485847,4.432442476585699,0.0,0.0,0.0,0.32314491567832543,0.9463494933010996,0.002789604134911361,0.0023337851291846956,0.0,0.0,0.0,0.0,0.0023337851291846956,0.004209300319935494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030445754677078114
